Model,Opening Bet,Rebuttal Bet,Closing Bet,Open→Rebuttal,Rebuttal→Closing,Open→Closing
claude-3.7-sonnet,"46.67 (±10.67, N=12)","46.88 (±11.80, N=24)","52.73 (±12.50, N=11)","Δ=0.83, p=0.4264","Δ=3.64, p=0.2670","Δ=6.82, p=0.1092"
deepseek-chat,"55.83 (±4.49, N=12)","59.58 (±5.76, N=24)","64.58 (±10.70, N=12)","Δ=3.33, p=0.0354*","Δ=5.42, p=0.1139","Δ=8.75, p=0.0081**"
gemini-2.0-flash-001,"45.83 (±15.79, N=12)","47.29 (±14.43, N=24)","44.17 (±18.69, N=12)","Δ=-0.42, p=0.5251","Δ=-1.25, p=0.5623","Δ=-1.67, p=0.5772"
o3-mini,"53.75 (±9.38, N=12)","67.92 (±13.46, N=24)","72.92 (±11.45, N=12)","Δ=10.00, p=0.0547","Δ=9.17, p=0.0660","Δ=19.17, p=0.0024**"
qwq-32b:free,"45.00 (±12.25, N=8)","32.19 (±12.12, N=16)","58.12 (±8.64, N=8)","Δ=-14.38, p=0.9631","Δ=27.50, p=0.0014**","Δ=13.12, p=0.0031**"
OVERALL,"49.73 (±11.93, N=56)","52.10 (±16.56, N=112)","58.64 (±16.64, N=55)","Δ=0.89, p=0.3580","Δ=7.64, p=0.0052**","Δ=9.00, p=0.0006***"
